,name,site,list
44,Right_caudomedial_auditory_cortex,c,['Right CM']
45,Spleen_acupuncture_point_SP2,c,['SP2']
46,Level_of_the_third_lumbar_vertebra,c,['Llevel']
47,Midclavicular_line,c,['Lateral line']
48,Diaper_area,c,['Napkin area']
49,Level_of_the_first_sacral_vertebra,c,['Slevel']
50,T12_Thoracic_segmental_innervation,c,['T12']
51,Umbilicus__Anatomy_,c,['Navel']
52,Face,c,"['Faces', 'FACE']"
53,Sole_of_Foot,c,"['SOLE', 'Planta', 'soles']"
54,Motor_Cortex,c,"['areas motor', 'Motor Areas', 'Motor Area']"
55,Superior_pole,c,['Upper pole']
56,Left_caudomedial_auditory_cortex,c,['Left CM']
57,Arch_of_foot,c,['arch']
58,Level_of_the_third_cervical_vertebra,c,"['clevels', 'Clevel']"
59,Palm_of_hand,d,"['Palm', '(Palm', 'WPBVAMC,', 'PALM']"
60,Palm_of_hand,c,['Palma']
61,T11_innervation,c,['T11\t']
62,Level_of_the_second_thoracic_vertebra,c,['Tlevel                                                           ']
63,Right_Brodmann_area_17,c,['Right striate area']
64,Level_of_the_fifth_thoracic_vertebra,c,['Tlevel']
65,Level_of_the_third_thoracic_vertebra,c,"['levels t3', 'Tlevel']"
66,Stomach_acupuncture_point_ST1,c,['ST1']
67,Lateral_rostrotemporal_auditory_cortex,c,['LRT']
68,HEA_tumor_staging_notation,c,['HEA']
69,S2_innervation,c,['S2']
70,Gallbladder_acupuncture_points_GB5,c,['GB5']
71,Liver_Acinus_Zone_2,c,"['Transition Zone', 'Zone 2']"
72,Fornix_of_vagina,c,['fornix']
73,Level_of_the_fourth_thoracic_vertebra,c,"['Tlevel', 'level t4', 'levels t4']"
74,Right_caudal_auditory_cortex,c,['Right C']
75,Spleen_acupuncture_point_SP6,c,['SP6']
76,Zone_of_skin,c,['Skin zone']
77,surface_of_kidney,c,['Renal surface']
78,T8_innervation,c,['T8']
79,Trigone_of_bladder,c,"['Trigonal structure', 'Trigone']"
80,Structure_of_base_of_heart,d,"['based on', 'Population-based', 'biopsy-based', 'British Heart Foundation', 'protein-based', 'exercise-based']"
81,Orbitofrontal_cortex,c,['Orbital Areas']
82,Zone_of_liver,c,['Portal zone']
83,Level_of_the_ninth_thoracic_vertebra,c,['Tlevel']
84,Surface_region_of_thumb,c,['Region of thumb']
85,Upper_arm,c,"['ARM','Arms']"
86,Level_of_the_sixth_cervical_vertebra,c,['Clevel']
87,Level_of_the_fourth_lumbar_vertebra,c,['Llevel']
88,Level_of_the_seventh_thoracic_vertebra,c,['Tlevel']
89,T9_innervation,c,['T9']
90,Level_of_the_fifth_lumbar_vertebra,c,['Llevel']
91,Surface_of_brain,c,['Brain surface']
92,Head,c,"['Heads', 'Caput']"
93,LI4_Acupuncture_Point,c,['LI4']
94,Body_surface_region,c,['Surface region']
95,Middle_third_of_esophagus,c,['Middle Third']
96,Base_of_breast,c,['Breast base']
97,Plantar_part_of_left_foot,c,['Left sole']
98,Upper_third_of_esophagus,c,['Upper Third']
99,Level_of_the_second_cervical_vertebra,c,"['clevels', 'Clevel']"
100,Liver_acupuncture_point_LR3,c,['LR3']
101,Brodmann_area_21,c,['BA21']
102,Right_lateral_lumbar_region_of_abdomen,c,"['Right flank', 'Right flanking']"
103,Base_of_peduncle_of_cerebrum,c,['Peduncle base']
104,Large_intestine_acupuncture_point_LI3,c,['LI3']
105,Base_of_neck,c,['Neck base']
106,Parolfactory_area_structure__body_structure_,c,['Carrefour']
107,Level_of_the_first_lumbar_vertebra,c,['Llevel']
108,ST5_Acupuncture_Point,c,['ST5']
109,Liver_Acinus_Zone_1,c,"['Zone 1', 'Periportal Zone']"
110,Structure_of_calf_of_leg,c,['CALF']
111,Brodmann_area_1,c,['BA1']
112,Structure_of_right_lower_quadrant_of_abdomen,c,['Right Lower Quadrant']
113,Level_of_the_second_lumbar_vertebra,c,['Llevel']
114,Palpebral_margin,c,['Lid margin']
115,Chin,d,"['(Chin J Ophthalmol,']"
116,Surface_of_bone,c,['Bone Surface']
117,Surface_region_of_finger,c,['Region of finger']
118,S3__sacral_segmental_innervation_,c,['S3']
119,Area_striata_structure,c,['V1']
120,Stomach_acupuncture_point_ST8,c,['ST8']
121,L1_innervation,c,['L1']
122,Frontal_part_of_head,c,['fron']
123,mesial_premotor_cortex,c,['Supplementary motor area']
124,Left_caudal_auditory_cortex,c,['Left C']
125,T10___Thoracic_segmental_innervation,c,['T10']
126,Presubiculum,c,['Area 27']
127,Gallbladder_acupuncture_point_GB4,c,['GB4']
128,Structure_of_right_upper_quadrant_of_abdomen,c,['Right Upper Quadrant']
129,Level_of_the_eighth_thoracic_vertebra,c,['Tlevel']
130,Mesial_Surface,c,"['middle Surface', 'Mesial', 'Median Surface']"
131,Body_Fluids,c,['FLUID']
132,CALCULUS,c,['Stones']
133,Apical_zone_of_left_lung,c,['Left apex']
134,Apical_zone_of_right_lung,c,"['Right apex','apex right']"
