,name,site,list
131,ARL2BP_gene,c,"['BART1', 'BART']"
132,ARL4C_gene,c,['LAK']
133,ARL6IP4_gene,c,['SR-25']
134,ARNTL2_gene,c,['CLIF']
135,ARPP21_gene,c,['RCS']
136,ARPP21_wt_Allele,c,['RCS']
137,ARSI_gene,d,['Arsi']
138,ART1_gene,c,['ART2']
139,ART3_gene,c,['ART3']
140,ASAH1_gene,c,['AC']
141,ASAH1_wt_Allele,c,['PHP']
142,ASGR2_gene,d,"['anti-Asgr2', 'anti-Alix/anti-GRP78/anti-Asgr2']"
143,ASIC2_gene,d,['mdeg']
144,ASIP_gene,c,['AGTI']
145,ASL_gene,c,['ASL']
146,ASPH_gene,d,['CDC/ASPH']
147,ASPRV1_gene,c,['SASP']
148,ASPSCR1_wt_Allele,c,['TUG']
149,ASXL1_wt_Allele,c,['MDS']
150,ATF6B_gene,c,['G13']
151,ATG12_gene,d,['12 ARGs']
152,ATG14_gene,d,['14 ARGs']
153,ATL2_gene,c,['ATL2']
154,ATM_wt_Allele,c,['AT Gene']
155,ATP12A_gene,c,"['HK', '#945']"
156,ATP2A1_gene,c,['S1T']
157,ATP2A2_wt_Allele,c,['DD']
158,ATP5F1A_gene,c,"['ORM', 'OMR']"
159,ATP6AP1_gene,c,"['XAP-3', 'ORF', '16A']"
160,ATP6AP2_gene,c,['PRR']
161,ATP6V1E1_gene,c,"['P31', 'E2']"
162,ATP7A_wt_Allele,c,"['DSMAX', 'MNK']"
163,ATR_gene,c,['MEC1']
164,ATXN2L_gene,c,['A2D']
165,ATXN3_gene,c,['JOS']
166,AUH_gene,c,['AUH']
167,AURKA_wt_Allele,c,"['AIK', 'AURA']"
168,AURKC_gene,c,['AurC']
169,AVIL_gene,c,['AVIL']
170,AVP_gene,c,['copeptin']
171,AWAT2_gene,c,['DC4']
172,AXL_gene,c,"['ARK', 'UFO']"
173,B3GALNT1_gene,c,['GLOB']
174,B3GAT1_gene,c,['NK-1']
175,B3GAT1_wt_Allele,c,['NK-1']
176,B4GALNT2_gene,c,['Sda']
177,B4GALT1_gene,c,"['GTB', 'GT1']"
178,BABAM2_gene,c,['BRE']
179,BAG1_wt_Allele,c,['HAP']
180,BAGE_gene,c,['BAGE']
181,BAGE3_gene,c,['CT2.3']
182,BAK1_gene,c,['BAK']
183,BANF1_gene,c,['BAF']
184,BANF2_gene,d,['BAF']
185,BAZ1B_gene,c,['WSTF']
186,BBS9_wt_Allele,c,['C18']
187,BCAT1_gene,c,['P3']
188,BCL10_gene,c,"['mE10', 'CIPER', 'CARMEN']"
189,BCL10_wt_Allele,c,['CARMEN']
190,BCL2A1_gene,c,['GRS']
191,BCL2L10_gene,c,['Boo']
192,BCL2L11_gene,c,['BimS']
193,BCL6_gene,d,"['6 cases ', '6 for BCL', 'All 6 of the BL', 'variant t(6']"
194,BCS1L_gene,c,['BCS']
195,BDH1_gene,c,['BDH']
196,BEST1_gene,c,"['Best condition', 'Best disease']"
197,BGLAP_gene,c,['OC']
198,BGLAP_wt_Allele,c,['BGP']
199,BGN_gene,c,['BGN']
200,BHLHE22_gene,c,['Betagene']
201,BHLHE22_wt_Allele,c,['Beta3']
202,BHLHE23_gene,c,['Beta4']
203,BHLHE41_gene,d,['sharp contrast']
204,BICC1_gene,d,['BICC Study']
205,BIK_gene,d,"['device BIK ', 'BIK treatment', 'BIK device']"
206,BIRC6_gene,d,['Bruce']
207,BLK_gene,d,['Blk']
208,BLMH_gene,c,['BH']
209,BLNK_wt_Allele,c,"['BASH', 'bca']"
210,BLOC1S3_gene,c,['RP']
211,BLOC1S4_gene,c,['CNO']
212,BLOC1S5_gene,c,['MUTED']
213,BLVRB_gene,c,['FLR']
214,BMF_gene,c,['BMF']
215,BMP7_gene,c,['OP1']
216,BMP8B_wt_Allele,c,['OP2']
217,BNC1_gene,c,['BNC']
218,BPI_gene,c,['BPI']
219,BPIFA1_gene,d,"['HNE2/SPLUNC1', 'PLUNC-p']"
220,BPIFA1_wt_Allele,c,['SPURT']
221,BRCA1_wt_Allele,c,['IRIS']
222,BRD1_gene,c,['BRL']
223,BRF1_gene,c,['BRF']
224,BRS3_gene,c,['BB3']
225,BRSK2_gene,c,['SAD1']
226,BSG_gene,c,['M6']
227,BSN_gene,c,['BSN']
228,BTD_gene,c,['BTD']
229,BTN1A1_gene,c,['BTN']
230,BVES_gene,c,['POP1']
231,C11orf58_gene,c,['small acidic protein']
232,C12orf10_gene,c,['MYG']
233,C14orf28_gene,c,['DRIP-1']
234,C15orf48_gene,c,['NMES1']
235,C1orf87_gene,c,['CREF']
236,C1QTNF5_gene,c,['LORD']
237,C1R_gene,d,"['HMy/C1R cells', 'C1R-neo cells', 'C1R-', 'C1R']"
238,C1S_gene,d,['C1S ']
239,C2_gene,d,"['C2-V3', 'C2/V3']"
240,C21orf62_gene,c,['B37']
241,C2orf49_gene,c,['asw']
242,C3_gene,c,['ASP']
243,C3orf18_gene,c,['G20']
244,C4A_gene,c,"['RG', 'SLP']"
245,C4A_wt_Allele,c,['C4']
246,C4B_gene,c,['CO4']
247,C4orf3_gene,c,['ALN']
248,C5orf38_gene,c,['CEI']
249,C6orf15_gene,c,['STG']
250,C8A_gene,d,['E2.C8A']
251,C8orf17_gene,c,['MOST-1']
252,C8orf34_gene,c,['vestibule 1']
253,CA1_gene,c,['CA I']
254,CA10_gene,c,['CA X']
255,CA2_gene,c,['CAII']
256,CA4_gene,c,['CAIV']
257,CA9_wt_Allele,c,['G250']
258,CACNA1A_gene,c,['APCA']
259,CACNA1C_gene,c,['CaV1.2']
260,CACNA1E_gene,c,['BII']
261,CACNA1S_gene,c,['CaV.1']
262,CACNA2D2_gene,c,['gene 26']
263,CACUL1_gene,c,['CAC1']
264,CADM1_gene,c,['BL2']
265,CAGE1_gene,c,['cancer antigen 1']
266,CALCA_wt_Allele,c,"['KC', 'PCT']"
267,CALD1_gene,c,['CDM']
268,CALM1_wt_Allele,c,['caM']
269,CALR_gene,c,['RO']
270,CALU_gene,c,['CALU']
271,CAMKV_gene,c,['1G5']
272,CAMP_gene,c,"['FALL-39', 'CRAMP']"
273,Cancer_Predisposing_Gene,c,['Susceptibility Gene']
274,CANT1_gene,c,['SCAN-1']
275,CAPNS1_gene,c,['30K']
276,CARD17_gene,c,['INCA']
277,CARD18_gene,c,['ICEBERG']
278,CARD8_gene,c,['Dakar']
279,CARD8_wt_Allele,c,['Dakar']
280,CASC8_gene,c,['CARLo-1']
281,CASK_gene,c,['CMG']
282,CASR_gene,c,['CASR']
283,CAV2_wt_Allele,c,['CAV']
284,CAV3_gene,d,['3 sequences']
285,CAVIN2_gene,c,['SDR']
286,CAVIN3_gene,d,"['(sRBC/rHSA', 'sRBC/rHSA,', 'sRBC/rHSA.', 'sRBC/rHSA']"
287,CBARP_gene,c,['DOS']
288,CBLC_gene,c,['CBL-3']
289,CBLIF_gene,c,['INF']
290,CBR1_gene,c,['CBR']
291,CBS_gene,c,['CBS']
292,CBX1_wt_Allele,c,['M31']
293,CBX5_gene,c,['HP1']
294,CBX8_gene,c,"['RC1', 'POLYCOMB 3']"
295,CCDC103_gene,c,['SMH']
296,CCDC22_gene,c,['JM1']
297,CCDC6_gene,c,['HGENE']
298,CCDC88A_gene,c,['GIV']
299,CCDC88C_gene,c,['DAPLE']
300,CCDC91_gene,c,['p56']
301,CCI_gene,c,['CCI']
302,CCL1_gene,c,['P500']
303,CCL14_wt_Allele,c,"['HCC-3', 'CC-3', 'CC-1']"
304,CCL16_gene,c,"['LEC', 'HCC-4', 'NCC4']"
305,CCL18_gene,d,['(parC']
306,CCL21_gene,c,['ECL']
307,CCL26_gene,c,['IMAC']
308,CCL27_gene,c,['ILC']
309,CCL4_wt_Allele,c,"['LAG-1', 'G-26']"
310,CCL7_gene,c,['MARC']
311,CCNH_gene,d,['cyclin E']
312,CCNL2_gene,c,"['cyclin S', 'CCNS', 'CYCLIN L2']"
313,CCSAP_gene,c,['CSAP']
314,CCT4_gene,c,['SRB']
315,CD101_gene,c,['V7']
316,CD160_gene,c,['NK1']
317,CD163L1_gene,c,['WC1']
318,CD164_gene,c,['MGC-24']
319,CD1D_wt_Allele,c,['R3']
320,CD2_wt_Allele,c,['T11']
321,CD200_gene,c,"['OX2', 'CDmolecule', 'MRC', 'CD200']"
322,CD226_gene,c,['TLiSA1']
323,CD27_wt_Allele,c,['T14']
324,CD28_wt_Allele,c,['T44']
325,CD300C_gene,c,['LIR']
326,CD36_gene,c,"['GLYCOPROTEIN IIIb', 'GPIV', 'GP IIIb']"
327,CD40LG_wt_Allele,c,['TRAP']
328,CD44_wt_Allele,c,['IN']
329,CD48_wt_Allele,c,['BLAST']
330,CD5_gene,c,['T1']
331,CD55_gene,c,['TC']
332,CD59_gene,c,['PROTECTIN']
333,CD59_wt_Allele,c,['MIN3']
334,CD63_gene,c,['ME491']
335,CD7_gene,c,"['TP41', 'LEU-9']"
336,CD79A_gene,c,"['MB-1', 'MB1']"
337,CD81_wt_Allele,c,['S5.7']
338,CD82_gene,c,"['ST6', 'KANGAI 1']"
339,CD9_gene,d,['Ba2+']
340,CD9_gene,c,"['MIC3', 'MRP-1']"
341,CD96_gene,c,['TACTILE']
342,CDAN1_gene,c,"['CDAI', 'DLT']"
343,CDC123_gene,c,['D123']
344,CDC42EP1_gene,c,['serum constituent protein']
345,CDC42EP3_gene,c,['UB1']
346,CDCA7L_gene,c,['R1']
347,CDH17_gene,c,"['HPT-1', 'cadherin']"
348,CDH9_gene,c,['CADHERIN 9']
349,CDIPT_gene,c,['PIS']
350,CDK16_gene,c,['PCTAIRE']
351,CDK20_gene,c,['CCRK']
352,CDK5R1_gene,c,['p25']
353,CDK5R2_gene,c,['P39']
354,CDK5RAP2_gene,c,['C48']
355,CDK9_gene,c,['TAK']
356,CDKN2A_gene,c,"['p16','p12','TP16']"
357,CDKN2B_gene,c,['MTS2']
358,CDR2_gene,c,['Yo']
359,CDSN_gene,c,['S GENE']
360,CEACAM6_gene,c,['NCA']
361,CEBPZ_gene,c,"['GADDgene', 'CTF2']"
362,CEL_gene,c,"['CEL', 'CELL']"
363,CELIAC2_gene,c,['celiac disease 2']
364,CENPJ_gene,c,['Sas-4']
365,CENPV_gene,c,['p30']
366,CENPX_gene,c,['D9']
367,CEP131_gene,c,['AZ1']
368,CEP170_gene,c,['KAB']
369,CEP57_gene,c,['TRANSLOKIN']
370,CERNA2_gene,c,['HOST2']
371,CES1_gene,c,['TGH']
372,CETN1_gene,c,['sulfamethoxazole trimethoprim 1']
373,CFAP52_gene,c,['WDR16']
374,CFAP97_gene,c,['HMW']
375,CFB_gene,c,"['Determinant B', 'FACTOR B', 'BF']"
376,CFC1_gene,c,['CRYPTIC']
377,CFC1_wt_Allele,c,['CRYPTIC']
378,CFD_gene,c,['ADN']
379,CFH_gene,c,"['HF1', 'beta-1H', 'HF', 'Determinant H', 'HUS']"
380,CFLAR_gene,c,['FLIP']
381,CFP_gene,c,"['FACTOR P', 'CFP', 'PFC']"
382,CGA_gene,c,['LHA']
383,CHAD_gene,c,['CHAD']
384,CHAF1B_gene,d,['CAF']
385,CHAMP1_gene,c,['CHAMP']
386,CHGA_gene,c,['PSP']
387,CHIA_gene,c,['CHIA']
388,CHIT1_gene,c,"['CHITINASE 1', 'CHI3', 'CHIT']"
389,CHKB_gene,c,['CHKL']
390,CHM_gene,d,['day 1 of the transfection of Rep']
391,CHMP2A_wt_Allele,d,['BC-2']
392,CHN1_gene,d,"['HCV-CHN1', 'HCV CHN1']"
393,CHORDC1_gene,c,['morgana']
394,CHP1_gene,c,"['p22', 'p24']"
395,CHPT1_gene,c,['CPT']
396,CHRFAM7A_gene,c,['D-10']
397,CHRM1_wt_Allele,d,"['strain HM1', 'HM1']"
398,CIB1_gene,c,"['KIP', 'CIB']"
399,CIC_gene,c,['CIC']
400,CIDEA_gene,d,['CIDE']
401,CIRBP_gene,c,['CIRP']
402,CISH_gene,c,['CIS-1']
403,CISH_wt_Allele,c,['CIS Gene']
404,CKAP2_gene,c,['LB1']
405,CKLF_gene,c,['C32']
406,CKM_gene,c,['CKM']
407,CLASRP_gene,d,['clasps']
408,CLCN1_gene,c,['ClC-1']
409,CLCN5_gene,c,['ClC-5']
410,CLEC10A_gene,c,"['MGL', 'HML2', 'HML']"
411,CLEC12A_gene,c,['CLL-1']
412,CLEC2A_gene,c,['PILAR']
413,CLEC3B_gene,c,['TNA']
414,CLEC4C_gene,c,['HECL']
415,CLEC4D_gene,c,['MCL']
416,CLEC4E_gene,c,['MINCLE']
417,CLIC1_gene,c,['G6']
418,CLINT1_gene,c,['CLINT']
419,CLK1_gene,c,"['STY', 'CLK']"
420,CLMP_gene,c,['ASAM']
421,CLNK_gene,c,['MIST']
422,CLOCK_gene,c,['CLOCK']
423,CLPP_gene,d,"['(ClpP', 'ClpP']"
424,CLSTN2_gene,c,['CS2']
425,CLTB_gene,c,['LCB']
426,CLTC_gene,c,"['CHC', 'Hc']"
427,CLU_gene,c,"['CLU', 'SP-40']"
428,CMD1B_gene,c,['FDC']
429,CMPK2_gene,c,['NDK']
430,CMTR2_gene,c,['AFT']
431,CNDP1_gene,c,['CN1']
432,CNDP2_gene,c,"['CN2', 'PEPA']"
433,CNIH1_gene,d,['CNIL']
434,CNN1_gene,c,['SMCC']
435,CNOT11_gene,c,['C40']
436,CNOT8_gene,c,['CALIF']
437,CNTD2_gene,c,['cyclin P']
438,CNTN2_gene,c,['TAX1']
439,CNTN3_gene,c,['PANG']
440,CNTN4_gene,c,['BIG-2']
441,CNTN5_gene,c,['NB2']
442,CNTN6_gene,c,"['NB3', 'NB-3']"
443,COASY_gene,c,['PPAT']
444,COBL_gene,c,['COBL']
445,COG2_gene,c,['LDLC']
446,COIL_gene,c,['COIL']
447,COL14A1_gene,c,['UND']
448,COL18A1_wt_Allele,c,['KS']
449,COL3A1_gene,c,"['COLLAGEN, BLOOD VESSEL', 'COLLAGEN, FETAL']"
450,COL6A4P1_gene,c,['DIVA']
451,COLQ_gene,c,['EAD']
452,COMMD3_gene,c,['BUP']
453,COMMD6_gene,c,['Acrg']
454,COMP_gene,c,['COMP']
455,COMP_wt_Allele,c,['MED']
456,COPS2_gene,c,['ALIEN']
457,CORIN_gene,c,['PRSC']
458,CORO1A_gene,c,['TACO']
459,COX8A_gene,c,['VIII']
460,CP_gene,c,['CP Gene']
461,CPA1_gene,c,['CPA']
462,CPB1_gene,c,['PASP']
463,CPB2_gene,c,['TAFI']
464,CPLANE1_gene,c,['Hug']
465,CPN1_gene,c,['CPN']
466,CPSF4_gene,c,['NAR']
467,CPVL_gene,c,['CPVL']
468,CPXM1_gene,c,['CPX-1']
469,CPZ_gene,c,['CPZ']
470,CREBZF_gene,c,['ZF']
471,CRHR2_gene,c,['CRF2']
472,CRLF1_gene,c,['CISS']
473,CRPPA_gene,c,['Nip']
474,CRX_gene,c,"['CRD', 'CRX']"
475,CSAD_gene,c,['CSAD']
476,CSDE1_gene,c,['UNR']
477,CSF1R_wt_Allele,c,['FIM2']
478,CSF2RA_wt_Allele,c,['GMR']
479,CSF2RB_gene,c,['BETA-C']
480,CSHL1_gene,c,"['CSL', 'CS-5']"
481,CSN1S1_gene,c,['CASA']
482,CSN3_gene,c,['KCA']
483,CSPG4_gene,c,"['HMW-MAA', 'NG2']"
484,CSPG5_gene,c,['NGC']
485,CSRP3_gene,c,['MLP']
486,CST1_gene,d,['1/CysC']
487,CST4_gene,d,['cystatin C (13.4 kDa']
488,CST7_gene,c,"['CMAP', 'CF']"
489,CST8_gene,c,['CRES']
490,CST9_gene,c,['CLM']
491,CSTB_gene,c,['PME']
492,CT45A1_gene,d,['CTA']
493,CT70_gene,c,['LeXis']
494,CTAG2_gene,c,['CAMEL']
495,CTBP1_wt_Allele,c,['BARS']
496,CTBP2_gene,c,['ribeye']
497,CTCFL_gene,c,['BORIS']
498,CTD_gene,c,['CTD']
499,CTF1_gene,c,['CT-1']
500,CTH_gene,c,['CTH']
501,CTNNA2_gene,c,['CAP-R']
502,CTNNB1_wt_Allele,c,['armadillo']
503,CTNNBL1_gene,c,['NAP']
504,CTSC_gene,d,['1 year']
505,CTSE_gene,c,['CATE']
506,CTSG_wt_Allele,c,['CG']
507,CTSH_gene,d,['5 of 7 ACCs.']
508,CTSS_gene,c,['CTSS']
509,CUL1_gene,d,"['DDB1 cullin', 'C-cullin 5-LANA-1-p65']"
510,CUZD1_gene,c,['ERG-1']
511,CWC22_gene,c,['NCM']
512,CX3CL1_wt_Allele,c,['ABCD-3']
513,CXCL1_gene,c,['KC']
514,CXCL1_wt_Allele,c,['KC']
515,CXCL11_wt_Allele,c,['IP-9']
516,CXCL13_gene,c,"['BCA1', 'BLC']"
517,CXCL13_wt_Allele,c,['BLC']
518,CXCL2_gene,d,"['Grob,']"
519,CXCL3_gene,c,['MEMBER 3']
520,CXCL8_gene,c,"['LECT', 'NAF']"
521,CXCL9_gene,c,['MIG']
522,CXCL9_wt_Allele,c,['CMK']
523,CXCR1_wt_Allele,c,['C-C']
524,CXXC5_gene,c,['WID']
525,CYCS_gene,c,['CYC']
526,CYCSP1_gene,c,['HC5']
527,CYCSP25_gene,c,['HC10']
528,CYCSP39_gene,c,['HC1']
529,CYCSP40_gene,c,['HC7']
530,CYCSP52_gene,c,['HCP2']
531,CYFIP2_gene,c,"['pinducible gene product', 'pinducible protein']"
532,CYGB_gene,c,['HGB']
533,CYMD_gene,c,['MDDC']
534,CYP11B1_gene,c,['FHI']
535,CYP11B2_gene,d,['CMOI']
536,CYP19A1_gene,c,['ARO']
537,CYP1A1_gene,c,['AHH']
538,CYREN_gene,c,['MRI']
539,CYTH1_gene,c,['B2-1']
540,CYTH2_gene,c,['ARNO']
541,CYTIP_gene,c,['HE']
542,CYTL1_gene,c,['C17']
543,CYTL1_gene,d,['HIV-1 cytokine-like matrix protein']
544,DALIR_gene,c,['DALI']
545,DAOA_AS1_gene,c,['G30']
546,DBH_gene,c,['DBH']
547,DBNL_gene,d,"['actin binding to HIV-1 encoded proteins,']"
548,DBT_gene,c,['DBT']
549,DCAF1_gene,c,['RIP']
550,DCD_gene,d,"['DCD recipients between September 1,']"
551,DCK_gene,c,['DCK']
552,DCLK1_gene,c,['CL1']
553,DCLK2_gene,c,['CL2']
554,DCLK3_gene,c,['CLR']
555,DCLRE1B_gene,c,['APOLLO']
556,DCLRE1C_gene,c,['A-SCID']
557,DCN_gene,c,['DCN']
558,DCPS_gene,c,['HINT-5']
559,DCT_gene,c,['DCT']
560,DCUN1D1_gene,c,['SCCRO']
561,DDAH2_gene,c,['G6A']
562,DDIAS_gene,d,['NO-inducible C. neoformans-specific four-gene']
563,DDN_gene,c,['DDN']
564,DDOST_gene,c,['OST']
565,DDR1_gene,c,['DDR']
566,DDT_gene,c,['DDCT']
567,DDX4_gene,c,"['DDX4', 'VASA']"
568,DDX41_wt_Allele,c,['ABS']
569,DDX53_gene,c,"['CT26', 'Malignancy associated gene', 'cancer associated gene']"
570,DDX54_gene,c,['APR-5']
571,DEDD_gene,c,['DEFT']
572,DEF6_gene,c,['IBP']
573,DEFA1_gene,d,"['Theta-defensin 1', 'RTD-1', 'anti-HIV-1 activities of defensins,', 'theta defensin 1,', 'anti-HIV-1 activity of defensins']"
574,DEFA4_gene,c,['HP-4']
575,DEFA5_gene,c,['HD-5']
576,DEFA6_gene,c,['HD-6']
577,DEFT1P_gene,c,['retrocyclin']
578,DEGS1_gene,c,['MLD']
579,DEPDC4_gene,c,['DEP.4']
580,DEPP1_gene,c,['fasting induced']
581,DERA_gene,c,['DERA']
582,DGAT2L6_gene,c,['DC3']
583,DHDDS_gene,c,['HDS']
584,DHX15_gene,c,['RNA HELICASE 2']
585,DHX16_gene,c,['MIS']
586,DHX40_gene,c,['ARG147']
587,DHX8_gene,c,['RNA HELICASE 1']
588,DIAPH3_wt_Allele,c,['AN']
589,DICER1_wt_Allele,c,"['GLOW', 'DICER']"
590,DIO2_gene,c,['D2']
591,DLAT_gene,c,['E2']
592,DLK1_gene,c,"['pG2', 'Delta1']"
593,DLL1_gene,c,"['DELTA1', 'DL1']"
594,DLST_gene,c,['DLST']
595,DLX4_gene,c,"['BETA PROTEIN 1', 'BP1']"
596,DMAC2L_gene,c,['FB']
597,DMBT1_gene,c,"['SALSA','GP340']"
598,DMTN_gene,c,['DMT']
599,DNA_Conformation,c,['DNA Conformations']
600,DNAAF1_gene,c,['swt']
601,DNAAF3_gene,c,['PCD']
602,DNAH14_gene,c,['HL-18']
603,DNAH9_gene,c,['HL-20']
604,DNAJB7_gene,c,['HSC3']
605,DNAJC14_gene,c,['DNAJ']
606,DNAJC2_gene,c,['ZUO1']
607,DNAJC21_gene,c,['GS3']
608,DNASE1L3_gene,c,['LSD']
609,DNER_gene,c,['bet']
610,DNLZ_gene,c,['HEP']
611,DNM2_gene,c,['Cellular Matrix protein']
612,DNPH1_gene,c,['RCL']
613,DNTTIP2_gene,c,['ESTROGEN RECEPTOR-BINDING PROTEIN']
614,DOCK1_gene,c,['DOCK']
615,DOCK4_gene,d,['DOCK4.0']
616,DOCK6_gene,d,['DOCK6.0']
617,DOHH_gene,c,['DOHH']
618,DONSON_gene,c,['B17']
619,DPEP1_gene,c,['MDP']
620,DPT_gene,c,['DPT']
621,DRG1_gene,c,['DRG']
622,DSC3_gene,c,['DSC']
623,DSCAM_AS1_gene,c,['M41']
624,DSE_gene,c,['DSE']
625,DSG1_gene,c,['PFA']
626,DSPP_gene,c,"['DPP', 'DSP']"
627,DST_gene,c,['DST']
628,DSTN_gene,c,['ADF']
629,DTNBP1_gene,c,['SDY']
630,DTYMK_gene,d,['TmpK ']
631,DUOXA1_gene,c,"['NIP', 'mol']"
632,DUSP28_gene,c,['VHP']
633,DUSP4_gene,c,['TYP']
634,DUSP8_gene,c,['HB5']
635,DVL1_gene,c,['DVL']
636,DVL1P1_gene,c,['DSH']
637,DWS_gene,c,['DWS']
638,DYNC1H1_gene,c,"['p22', 'HL-3']"
639,DYNC1I2_gene,c,['IC2']
640,DYRK1A_gene,c,['MNB']
641,EAF2_gene,c,['TRAITS']
